upload_date	video_id	duration_s	transcript	title
20251102	A8ncoQCPjF8	1590	YES	The ONLY 2 Indicators You Need To Make +$3,945/Day Trading
20251026	v3aPSZkVQYA	3306	YES	A Week in the Life of a Trillionaire Trader in Dubai
20251020	8rqdN1FnY4s	4598	YES	I Tried to Make $1,000,000 in a Week Day Trading
20251012	Jg3hYJ3JOTA	3742	YES	How I Turned $500 Into $50,000,000 at 25 | My Journey
20250928	grw58BIzotU	38159	YES	The Trading Industry Will Hate Me for This FREE 10+ Hour Course
20250910	m884pbQ7QA0	2935	YES	Night in the life of a rich trader in Miami
20250831	hJyYxKtys04	3958	YES	Every Single Trading Strategy Explained for Beginners
20250819	eZ3zGasWTTY	932	no	I Made $700,000 Day Trading so I Bought another Hyper Car
20250811	iCU1EJMrEZ0	1308	YES	This 1 Hour Day Trading Strategy Works Every Day ($1,000/day)
20250729	1nVgxuG97wU	926	YES	I Gave Whistlin Diesel $100,000 to Day Trade for Me
20250716	ClwWG0SydYg	3748	no	I Took A Stranger From Broke To Rich In 30 Days
20250701	NQppFY_9YgY	1563	no	I Crashed My $6M Bugatti… So I Bought an SVJ
20250622	UlATmH-ux3I	3978	no	I Helped a Subscriber Turn $1,000 into $9,000 Day Trading in 14 Days
20250616	aEBpEMkx3jE	3925	no	I Helped a Subscriber Make Money Trading Forex in 7 Days
20250609	E3lYZsy8nYE	1638	no	This Trading Strategy is Boring, but Made Me My First $100,000
20250527	svOKoo3CY0c	1402	no	I FINALLY Bought a $3,200,000 Private Jet
20250513	dsohnQdm9Qs	1982	no	I Made $1,000,000 Trading Forex to Prove It's Not Luck
20250427	BvSC5htaRUw	802	no	How I Made $400,000 Day Trading in 13 minutes (Copy me)
20250420	ny7zRePso_U	913	no	How I Would Trade Forex in 2026 (Step by Step to Build Wealth Fast)
20250410	6pdOyBmOlf8	1202	no	Boring Day in the Life of a Miami Millionaire Trader
20250403	5J01qKDAziM	1825	no	This Trading Strategy Will Create Millionaires in 2026 | Day Trading
20250323	zzQXJJrIc5Q	2339	no	Young Millionaire Reveals His +$11,000,000 Car Collection
20250313	yFkNBR1gZnI	3560	no	The Easiest Way to Make Money Online in 2025 (Beginner's Guide)
20250303	OwQTxsUu53U	1225	no	I Bought my Second $5M Bugatti at 24 years old
20250223	nOUJcxt9Ugk	3308	no	How To Make 'F*ck You' Money With Day Trading in 2025
20250217	G3Cj4K8STNo	2404	no	I Made $400,000 Day Trading & Spent it All On a Porsche 911 GT3 RS
20250210	sZAE_lqdeno	1244	YES	Simplifying Advanced Market Structure in 20 Minutes | Forex Trading Tutorial
20250101	zX3t7-TDTCI	1149	no	Young Millionaire Buys His First Private Jet at 24
20241219	2pEtH0g0z1o	1948	YES	The Blueprint To Become a Profitable Trader in 2025
20241204	McRKOYBcAiI	1181	YES	How to Grow a Small Forex Account So Fast It Feels Illegal
20241124	e7yVRB0f4xY	1680	no	I bought a $4,000,000 Bugatti at 24 (I still can’t believe it)
20241117	wVmNxcrCF78	1482	no	Forex Trading Paid For This $3,500,000 Mansion in Miami
20241106	Is_8UamxEOk	1545	no	At 21, I became a millionaire. This is the story.
20241019	xAJT6cmJ5gs	6288	no	How I Turned $100 into $1 Million In 90 Days
20241007	a03Vmo_d9Tk	3464	no	I Turned $100 Into $332,588 in 12 Weeks Trading Forex
20240929	AgOgdLow6Ow	2547	no	I Turned $45,144 Into $201,940 in 7 Days Trading Forex
20240922	qGNeo8RvV50	3565	no	I Turned $42,000 to $107,351 in 3 Days Trading Forex, but...
20240915	f0Us3YBL1tg	3784	no	I Tried to Turn $90,000 Into $200,000 in 7 Days Trading Forex
20240908	yGkd32dirJ8	4393	no	I Turned $20,000 Into $90,278 in 7 Days Trading Forex
20240901	hiad0PbI47o	2783	no	I Tried to Turn $100 Into $40,000 in 49 Days Trading Forex
20240825	JiEJMpdraG4	3171	no	I Turned $100 Into $22,696 in 6 Weeks Trading Forex
20240818	oJvao6Ca4aA	4582	no	I Tried to Turn $100 Into $1,000,000 in 37 Days Trading Forex
20240811	iFs8BmHYnks	4378	no	I Tried to Turn $100 into $30,000 in 30 Days Trading Forex
20240804	ILJ5_ZbB5r0	4448	no	I Tried to Flip $100 Into $6,000 in 21 Days Trading Forex
20240728	njvjjOgiLKo	3179	no	I Turned $100 Into $3,074 in 14 Days Trading Forex
20240721	f-7_8hmb0M0	2786	no	I Tried to turn $100 Into $200 in a Week Trading Forex
20240714	b80QhvUHHoU	773	no	I'm going to turn $100 into a $1,000,000
20240711	cOml55gLPl0	1231	no	A Week In The Life of a Millionaire Forex Trader In Cape Town
20240707	mBFVeLagITA	996	no	I Just Made $120,000 in 48h With This Forex Trade
20240627	QU65j9eQobc	854	no	How to Grow Small Forex Trading Account with Very Little Money in 2025
20240623	sIeOLHTFET0	1035	no	Forex Trading Paid For This $15,000,000 Mansion at 23 Years Old
20240620	FmKJDOSUAUY	1650	YES	The Best Top Down Analysis Strategy for 2025 | Forex Trading Guide
20240613	tQ7pUImfYlY	1880	no	Trading Forex is a Video Game (Here's How to Win)
20240609	lNPRb2GPOwI	2892	no	How to Do Technical Analysis for Beginners in 2025 | Forex Trading Course
20240531	ah_0uzLr5yo	3083	no	Forex Trading Bought Me a $2.3 Million Car Collection
20240526	oC-nXDUMkTw	1157	no	Revealing How I Made $2,800,000 With Trading Forex in 2025
20240522	bYROdw0xJdc	1706	YES	How To Start SWING TRADING as Beginner in 2025 | Full Guide Step by Step
20240421	phphBbRex1M	1492	no	I made $346,000 in 1 trade to prove it’s not luck (full breakdown)
20240407	YjMH8zaqkkA	1865	no	How I make millions with forex trading so you can just copy me
20240404	-fJ3X8xSXL4	1096	no	How to Become Profitable at Trading so Fast it Feels Illegal
20240324	H4BUyvFYcgc	1048	no	How to Grow a SMALL Forex Account in Less than a Week
20240310	bx4pIv4Wtck	685	no	This Trading Strategy Made Me $54,000 In Just 24 Hours
20240306	XGfP3v5KOyY	548	no	Trading was Hard Until I Understood This 4 Concepts
20240303	kLLMCoPb6h0	1970	no	EVERY Candlestick Pattern YOU Need to Know to Trade Forex
20240229	apR0C9pLDgg	527	no	How I made $100,000 in 8 hours Trading Forex (copy me)
20240219	63v9VXxyjUw	1566	no	24h In The Life of a Millionaire Forex Trader
20240216	cjJB9uGmuuk	1064	no	I Spend a Day with the Student that Made $110,000 Trading Forex
20240214	f7R-V1I1reQ	725	no	How I Streaked The Super Bowl in 2024
20240211	4Fb9aVn_gXo	1013	no	My 2025 Goals List: $10M, Private Jet, Philanthropy...
20240207	JA4N8nlycXY	779	no	How this Trading Strategy Made Me $70,000 in 1 Day | Head And Shoulders Pattern
20240204	kg-rOo9_xjU	669	no	This Trading Strategy Made Me $26,000 in Just 12 Hours
20240128	VzMlFZbWA0Y	758	YES	Best Risk Management Strategy to Make Millions with Trading
20240122	X0Ua4XeA2Xo	1186	no	Easiest Forex Trading Strategy to be Profitable in 2025 | Shift of Structure
20240117	7otxB9VIiDs	672	no	I Turned $1,100 Into $17,000 in 1 Month Trading Forex
20240107	SvJ1ZmZKfc0	868	no	The Ultimate Guide to Price Action Trading Strategy For Begginers
20231228	vjlttwZOBMo	667	no	Worst TRADING MISTAKES And How To Fix Them
20231221	KnZ03FjD-i0	1018	no	Why I haven't taken a trade in 30 Days...
20231217	7KedELXv68I	1292	no	Support & Resistance Trading Strategy Was Hard, Until I Understood This
20231214	Yv04PBna-Dk	936	no	How I Would Become a Profitable Trader Earlier (If I Could Start Over)
20231129	Vjda5pI5vKQ	1303	no	How to Make $250 a Day With Day Trading AS A BEGINNER
20231126	NFb0rX2LOp0	3326	no	How to Start Day Trading for Beginners in 2025 | Free Course
20231120	XJ6lNP_Ihkg	660	no	How I Turned $1,111 into $3,461 in 7 Days Forex Trading
20231115	WjsSd5Owf9A	1091	no	How to Become a Profitable Trader in Less Than 30 Days
20231111	1ufBfxizmds	935	no	My newest challenge turning $1 into ...
20231105	4NBUlfnETBY	2765	no	How to Start Forex Trading for Beginners Step by Step in 2025 | Full Guide
20231101	x7Ki7QV7USU	465	no	How to Use the News to Make Money Trading Forex | Fundamental Analysis
20231029	iKKyxN9IIKg	582	no	Starting in Trading is Hard, Until You Watch this Video
20231024	DZ9l_dpmbyM	2045	no	The Truth Behind The $100 to $1,000,000 Challenge
20231018	kb3t0xHbpGQ	1477	no	I Tried to Flip $250,000 into 1M in One Week Trading Forex
20231007	HmlA-Ro_k9k	2743	no	I Tried to Turn $300,000 into $600,000 in Just a Week Trading Forex
20231001	7dcJ2WZYDDQ	2418	no	I Tried to Turn $130,000 into $260,000 in a Week of Trading
20230928	ibgnOrk9MLo	536	no	6 Reversal Candlestick Patterns You Need To Know Before Starting Trading
20230924	7kOPNrRw0jM	2037	no	I Tried Flipping $100 into $180,000 in 2 Months
20230917	EzABRvWTIBo	1806	no	I Turned $100 into $78,486 in 6 Weeks
20230913	vtuW1XIgixI	388	no	How I Do Forex Technical Analysis (For BEGINNERS)
20230910	DqI1BpWtf7c	2535	no	I Made $46,205 From $100 in Less Than 40 Days
20230903	OyfI83yU0KM	2676	no	I Turned $100 into $19,806 in Less Than 30 Days
20230827	uOtKqV9HQss	2299	no	I Turned $100 into $7,106 in ONLY 21 Days Trading Forex
20230820	okx_3_Uxht0	2383	no	I Turned $100 in $4,160 in 14 Days with Trading
20230813	M8OcMuD_eEQ	2876	no	I Turned $100 Into $2,737 in a Week Trading Forex
20230806	dVCbyu6kDm0	1600	no	I'm Going to Turn $100 to $1,000,000 with Forex Trading
20230723	_MB8eXLyV2Q	67	no	I Will Turn $100 Into $1,000,000 in Under 60 Days
20230717	_mYKZ0Il0ZI	659	no	The Story of How I Made My First $1,000,000
20230710	Y6xyQRDbJvU	1648	no	How To Trade Forex For Beginners in 2025 | Full Tutorial
20230702	HYCdwPCLc8U	1067	no	The Only Trading Strategy You Need To Be Profitable | Swing Trading
20230627	gbzqdgoCA98	2320	no	How To Learn The Most Profitable Skill Ever
20230611	ia8dP44BnFI	827	no	22 Years Old Forex Millionaire Gives Away His Lamborghini
20230529	jU_1mBDh_sc	654	no	How I Make $2,280,000/Year At Age 22
20230522	KNFmPcFqPn8	892	no	How I Made $110,000 Trading Forex in Just 24 Hours
20230417	gOyS4aQ8j-U	755	no	Master the Millionaire Mindset for 2025 Success
20230410	c8iof-3bU10	718	no	Millionaire TRADER is Giving Away his LAMBORGHINI
20230402	iNfYt0eIoqI	1473	no	Forex TRADER VS Guru WINNER Takes $20,000 Pt. 2
20230326	o1T6dLoywTw	583	no	BEST Forex Strategy To NEVER Lose Streaks AGAIN
20230226	Vg7iYXDR0Do	804	no	Forex GURU VS His STUDENT! ($10,000 Forex Challenge)
20230213	DpC9A20ZrkU	670	no	From DUNKIN Donuts To MILLIONAIRE TRADER (My Story)
20230201	W0KdS8Kcv-g	409	no	Making $50,000 Trading forex on Vacation
20230118	toCzE2VLrQE	672	no	How To RECOVER From A Forex DRAWDOWN (The Fast Way)
20230103	WlGy0TLuSSs	735	no	TRADING FOREX Bought Me A $2,000,000 House At 22 Years Old
20221214	rlmN6sOPUr0	521	no	Giving away $100,000 Forex Profits in DR FT. graham stephan
20221129	urX1iWvHc5g	555	no	Learn How THIS Forex AOI SECRET Bought Me A $200,000 Watch
20221117	pFcOnuksC4Y	583	no	HOW This Trading Strategy Made Me $60,000 In 30 Seconds!!
20221102	VljTH-yqQow	883	no	Forex Student Makes $10,000 & Takes My Lamborghini FT. Nelkboys
20221012	xQDOeXy7Fgg	1842	no	This Ex-Factory Worker Now Makes Money Trading Full-Time
20221005	rQGKjTc5zoc	1927	no	Teaching a McDonald's employee how to TRADE FOREX PT.2
20220928	MrJKB4DQgOo	909	no	How to Win at Forex Trading (Psychological Fundamentals)
20220921	Z4BQm4Yx0cM	1371	no	I Helped a McDonald's Employee to Become a Profitable Trader
20220914	D0oVtdqhWH8	2976	no	RajaBanks - What It Takes To Make It In Forex
20220907	WvDg8jILTok	883	no	This Strategy Made Me $100,000 TRADING FOREX
20220831	Nf1MCSw9AdM	2014	no	This Student Used Our Strategy to Make $50K+ in Payouts
20220824	Uf7Wm1hhuJo	922	no	Day In The Life of MIAMI FOREX Millionaire Trader
20220818	YbnlGA1nTb4	907	no	7 Most Frequently Struggles & Barriers On FOREX (PROCRASTINATION)
20220722	RxCwQusClKE	2331	no	QB Stew Making $100,000 in 1 Day & Smoking Weed in professional football game
20220719	_KSjBauVHT8	667	no	The BEST SWING TRADING Strategy (For Beginners)
20220715	lcfyxUtYVSk	902	no	The best FOREX MONEY MINDSET psychology video PT 2
20220712	P4pHJaDGkHU	778	no	How to Trade GBPJPY with EMA. Pt. 2
20220701	yPi6xWI-kuE	800	no	Golden Ticket to becoming a FULL TIME  profitable trader , FOMO , FEAR EP 19
20220628	eqBrwOZf904	269	no	MT4 vs MT5 Which One Is BETTER?
20220624	XUc0hMGF0JY	3438	no	How Swaggy C Went From Homeless to Owning a $10M House
20220614	tyw7MoLTL58	877	no	I Predicted the Bitcoin Drop Before It Happened (Here's How)
20220603	LxUbtGZ1Z3U	1875	no	Student QUITS Construction Job Turns FULLTIME Trader ($1500 To $7000 In 2 days)
20220531	P3XoDm0wswc	1055	no	How I Turned $102 To $3000 LIVE TRADING FOREX (STRATEGY EXPOSED!)
20220527	mK5CBCUMRq0	1819	no	From Getting FIRED By Grant Cardone To Investing $1,000,000! - Cody
20220524	Z7G52M9_nhM	604	no	Watch Me Turn $100 Into $3,000 (Live Strategy Breakdown)
20220520	QVnZMpp4TyE	3093	no	Time Piece Trading CRASHES Podcast with BILLIONAIRE Barber, $2 Million + in Watches!
20220513	nJ6dW2dkoIk	2237	no	Nour Trades from WALL STREET, to Full Time Options Day Trader!
20220429	t-XYs6TIZ5w	1973	no	Forex Attorney on selling his firm & partnering with Cuebanks
20220426	R24MdNFjAGU	606	no	How to Trade FOREX with Moving Averages. Part 1
20220422	7FQBCFxR4fE	2831	no	Secrets to success with MILLIONAIRE FOREX TRADER Cuebanks
20220419	8K-lJSmh2Vc	452	no	My FOREX TRADING OFFICE Where I've Made $100,000+
20220408	e_DBn5FOYs8	2189	no	She Quit the Miami Police to Trade Forex Full Time – Here’s Her Story
20220401	SucN5bnbnNo	1950	no	Interview with Top Student make 25% in 2 weeks Forex Swing Trader SETANDFORGET PODCAST
20220325	xVy9chXFmM0	2831	no	What James Storms Did After LOSING $400,000 When He Made $1.4 Million TRADING FOREX
20220318	bMZFcHYi714	2943	no	Forex Trader spends $100,000+ on CLOTHES!! (SETANDFORGET) Podcast EP.4
20220311	IR9d8d1_Xoc	1600	no	DrewizeBanks on the MISTAKES Traders Make #setandforget Podcast EP3
20220308	gDou_3q55EY	971	no	GBPJPY Forex Trade That Made Me $25,000 (In ONE WEEK!)
20220304	_S8pLFuReW4	1634	no	NFTs Are Dying? Or Coming Back Stronger?
20220226	oFQ9mJLPK8M	511	no	#setandforget PODCAST EP1 Making $100,000 Trading Mindset
20220214	S5n1Jmhbydo	1031	no	How I Made $58K Trading in 60 Days – Full Strategy + Track Record
20220207	frXFCucMp6w	742	no	Live Forex Session With 965 Traders – Full Strategy Reveal (Pt. 1)
20220131	3aAWeVJ2qB8	629	no	3 Things That Could’ve Saved My Forex Account
20220118	N4WKRGCRhwQ	794	no	THIS Trade Cost Me $50,000 in Minutes
20220105	g7EMYqCqqzU	747	no	How I Made $60,000 TRADING FOREX IN 3 DAYS PART 2
20211229	0P8ZLXv3Sx8	880	no	How I Made $60,000 TRADING FOREX IN 3 DAYS pt.1
20211221	9kHH8RQM0Ls	371	no	McLaren Drift Gone WILD – Doors Open Challenge
20211031	lh5rKjSO7_w	560	no	LIVE FOREX MARKET BREAKDOWN GBPUSD
20210813	4Lv_SzhdyhM	822	no	How I Spot Forex Patterns That Print Money
20210726	gONIDK45QFc	1047	no	When to BUY When to SELL Forex / Crypto Markets #vlog
20210511	Yn6Yltqnk9Q	1012	no	Live Swing Trading Forex At Its SIMPLEST Market BREAKDOWN
20210426	c5PdraC8KkA	552	no	Live Forex swing trade breakdown with the students  # Sunday Swings
20210411	n30ztrFZ2zI	732	no	Forex swing trading at its simplest LIVE with my telegram group
20210331	6eAyc0rnvdQ	350	no	200k ftmo Challenge GBPUSD Swing Trade BREAKDOWN
20210329	1JMVE4Y5U7o	460	no	Market break down learn and earn
