drill_id,symbol,tf,horizon,decision_idx,decision_ts,decision_close,structure,location,quality,momentum,eye_structure,eye_location,eye_quality,eye_momentum,eye_tradeable,eye_best_tool,eye_one_line,eye_current_candle,before_png,after_png,call_action,call_entry,call_stop,call_target,call_reasoning,outcome,entered,fill_offset,exit_price,exit_offset,R,risk
d011_BTCUSDT_1h,BTC-USDT,1h,24,49273,2025-11-07T11:00:00+00:00,100339.5,transition,at range low,clean,contracting,transition,at range low,clean,contracting,False,stand aside,"Clean transition, at range low. Stand aside, nothing to do here.",red/average/long lower/upper half,step84_drill_images/d011_BTCUSDT_1h_before.png,step84_drill_images/d011_BTCUSDT_1h_after.png,short,100250,101300,98500,"Large decline 111000->99000, bounce to 104500 now rolled over and broken decisively back below both MAs, closing near session lows with momentum expanding down again -- failed bounce, downtrend resuming.",stop,True,1,101300.0,5,-1.0,1050.0
d012_BTCUSDT_1h,BTC-USDT,1h,24,50939,2026-01-15T21:00:00+00:00,95535.0,downtrend,at range low,clean,contracting,downtrend,at range low,clean,contracting,True,trend-follow,"Clean downtrend, at range low. Ride the trend.",green/average/none/near high,step84_drill_images/d012_BTCUSDT_1h_before.png,step84_drill_images/d012_BTCUSDT_1h_after.png,short,95300,96450,93800,"Strong uptrend to a rounded top near 98000, consolidated at highs then broke down through MA20, now below both MAs closing near session lows -- trend exhaustion/rollover pattern. Short the breakdown.",time,True,6,95481.9,24,-0.1582,1150.0
d013_BTCUSDT_1h,BTC-USDT,1h,24,51919,2026-02-25T17:00:00+00:00,68628.1,uptrend,breaking out,clean,stalling,uptrend,breaking out,clean,stalling,True,breakout,"Clean uptrend, breaking out. Watch for the break to run.",green/large/none/upper half,step84_drill_images/d013_BTCUSDT_1h_before.png,step84_drill_images/d013_BTCUSDT_1h_after.png,long,68500,67900,69500,"Sharp V-recovery from 62600 low back to 68500 in ~14h, breaking decisively above both MAs right into the old resistance zone where the prior selloff started. High-velocity reclaim; long with tight stop given this is the exact prior breakdown level.",target,True,1,69500.0,4,1.6667,600.0
d014_BTCUSDT_1h,BTC-USDT,1h,24,53120,2026-04-16T18:00:00+00:00,75001.1,downtrend,at range high,messy,contracting,downtrend,at range high,messy,contracting,False,stand aside,"Messy downtrend, at range high. Stand aside, nothing to do here.",green/large/none/near high,step84_drill_images/d014_BTCUSDT_1h_before.png,step84_drill_images/d014_BTCUSDT_1h_after.png,long,75000,74300,76000,"Bullish grind from 70600 low to 76000 peak, consolidating with a higher-low structure, final candle a strong green bar breaking to new local high after a dip. Long for continuation, tight stop given this zone has rejected multiple times before.",target,True,0,76000.0,15,1.4286,700.0
d015_BTCUSDT_15m,BTC-USDT,15m,48,12636,2020-08-04T01:30:00+00:00,11369.0,transition,at range high,clean,expanding,transition,at range high,clean,expanding,False,stand aside,"Clean transition, at range high. Stand aside, nothing to do here.",green/average/none/near high,step84_drill_images/d015_BTCUSDT_15m_before.png,step84_drill_images/d015_BTCUSDT_15m_after.png,long,11365,11225,11550,"Uptrend to 11460 peak, sharp ~2.7% corrective dip to 11150, now a strong multi-candle recovery back to 11365 reclaiming MA50. Reading the pullback as resolved, long for trend continuation.",stop,True,0,11225.0,19,-1.0,140.0
d016_BTCUSDT_15m,BTC-USDT,15m,48,19117,2020-10-10T13:45:00+00:00,11356.0,transition,at range high,messy,expanding,transition,at range high,messy,expanding,False,stand aside,"Messy transition, at range high. Stand aside, nothing to do here.",green/doji/long upper/near low,step84_drill_images/d016_BTCUSDT_15m_before.png,step84_drill_images/d016_BTCUSDT_15m_after.png,long,11355,11245,11480,"Two vertical thrust moves up, pullback to 11250 below MA20, now recovering back to MA20/MA50 confluence at 11360. Broader structure still bullish (MAs rising, price above). Long the dip recovery, stop below the dip low, target prior high.",time,True,0,11374.5,48,0.1773,110.0
d017_BTCUSDT_15m,BTC-USDT,15m,48,63452,2022-01-15T09:30:00+00:00,42890.0,uptrend,pulling back in trend,clean,expanding,uptrend,pulling back in trend,clean,expanding,True,trend-follow,"Clean uptrend, pulling back in trend. Ride the trend.",red/average/none/near low,step84_drill_images/d017_BTCUSDT_15m_before.png,step84_drill_images/d017_BTCUSDT_15m_after.png,long,42920,42750,43300,"Sharp V-recovery from 41750 low, then choppy consolidation with flattening MAs; price now pulling back to test MA support at range low. Broader recovery trend intact -- long the pullback, stop below range low.",stop,True,1,42750.0,12,-1.0,170.0
d018_BTCUSDT_15m,BTC-USDT,15m,48,81601,2022-07-23T10:45:00+00:00,22508.0,downtrend,at range low,messy,expanding,downtrend,at range low,messy,expanding,False,stand aside,"Messy downtrend, at range low. Stand aside, nothing to do here.",green/large/none/upper half,step84_drill_images/d018_BTCUSDT_15m_before.png,step84_drill_images/d018_BTCUSDT_15m_after.png,short,22480,22760,22000,"Decisive breakdown from the 22700-23000 chop range in the last 3-4 candles to a 22350 low, closing near session lows with expanding downside momentum. Short the breakdown continuation.",target,True,1,22000.0,28,1.7143,280.0
d019_BTCUSDT_15m,BTC-USDT,15m,48,111144,2023-05-27T04:30:00+00:00,26762.4,uptrend,at range high,messy,expanding,uptrend,at range high,messy,expanding,False,stand aside,"Messy uptrend, at range high. Stand aside, nothing to do here.",green/large/none/near high,step84_drill_images/d019_BTCUSDT_15m_before.png,step84_drill_images/d019_BTCUSDT_15m_after.png,long,26760,26650,26950,"Sharp breakout spike to 26950 after long chop, consolidation since has held well above the old range (never round-tripped back below 26600). Now pushing to a new local high within the consolidation -- long for continuation toward the spike high.",stop,True,0,26650.0,37,-1.0,110.0
d020_BTCUSDT_15m,BTC-USDT,15m,48,112197,2023-06-07T03:45:00+00:00,26900.5,range,at range low,clean,contracting,range,at range low,clean,contracting,True,range-fade,"Clean range, at range low. Fade the edge.",green/large/none/near high,step84_drill_images/d020_BTCUSDT_15m_before.png,step84_drill_images/d020_BTCUSDT_15m_after.png,long,26860,26680,27400,"Strong rally from a long chop base to 27400, now pulling back ~2.7% testing the MA20/MA50 zone with a small green bounce forming. Healthy pullback in a strong uptrend -- long the dip, stop below the pullback low.",stop,True,11,26680.0,22,-1.0,180.0
d021_BTCUSDT_15m,BTC-USDT,15m,48,120901,2023-09-05T19:45:00+00:00,25666.0,transition,at range low,clean,expanding,transition,at range low,clean,expanding,False,stand aside,"Clean transition, at range low. Stand aside, nothing to do here.",red/large/none/near low,step84_drill_images/d021_BTCUSDT_15m_before.png,step84_drill_images/d021_BTCUSDT_15m_after.png,no trade,,,,"Low-volatility grind, tight overlapping chop for 8+ hours in a 25680-25830 band with both MAs converged and flat. No clean directional structure, textbook range chop -- staying out.",flat,False,,,,0.0,
d022_BTCUSDT_15m,BTC-USDT,15m,48,134745,2024-01-28T00:45:00+00:00,41969.9,chop,at range low,messy,contracting,chop,at range low,messy,contracting,False,stand aside,"Messy chop, at range low. Stand aside, nothing to do here.",green/small/long lower/near high,step84_drill_images/d022_BTCUSDT_15m_before.png,step84_drill_images/d022_BTCUSDT_15m_after.png,long,41965,41900,42200,"Wide round-trip swing overall, but the most recent leg is a clean strong impulsive rally (41380->42200) now pulling back mildly to test MA20. Long the shallow pullback within the fresh rally leg, stop below recent higher low.",target,True,0,42200.0,2,3.6154,65.0
d023_BTCUSDT_15m,BTC-USDT,15m,48,145952,2024-05-23T18:30:00+00:00,67147.4,downtrend,at range low,clean,contracting,downtrend,at range low,clean,contracting,True,trend-follow,"Clean downtrend, at range low. Ride the trend.",green/small/long upper/lower half,step84_drill_images/d023_BTCUSDT_15m_before.png,step84_drill_images/d023_BTCUSDT_15m_after.png,no trade,,,,"Violent fast breakdown (69800->66850 in ~3-4h) after a double top, momentum strongly expanding down but already extremely extended/parabolic. Small green bounce candle just printed with no confirmation either way. Too extended to chase short, too early to call reversal -- staying out.",flat,False,,,,0.0,
d024_BTCUSDT_15m,BTC-USDT,15m,48,150164,2024-07-06T15:30:00+00:00,57307.3,transition,breaking out,messy,expanding,transition,breaking out,messy,expanding,True,breakout,"Messy transition, breaking out. Watch for the break to run.",green/large/none/upper half,step84_drill_images/d024_BTCUSDT_15m_before.png,step84_drill_images/d024_BTCUSDT_15m_after.png,long,57300,57000,58000,"Steady uptrend with a mid-chart consolidation (56000-56900) now breaking out decisively to fresh highs with expanding momentum in the last several candles. Long the breakout continuation, stop below the last minor pullback.",target,True,0,58000.0,5,2.3333,300.0
d025_BTCUSDT_15m,BTC-USDT,15m,48,183692,2025-06-20T21:30:00+00:00,103571.3,uptrend,pulling back in trend,messy,contracting,uptrend,pulling back in trend,messy,contracting,False,stand aside,"Messy uptrend, pulling back in trend. Stand aside, nothing to do here.",green/average/none/near high,step84_drill_images/d025_BTCUSDT_15m_before.png,step84_drill_images/d025_BTCUSDT_15m_after.png,no trade,,,,"Violent breakdown from a rounded top (106350->102700), weak bounce now stalling in a tight contracting-range consolidation for ~10 candles. Could be a bear flag or a base -- no clear resolution yet, staying out.",flat,False,,,,0.0,
d026_BTCUSDT_15m,BTC-USDT,15m,48,193336,2025-09-29T08:30:00+00:00,112246.6,downtrend,breaking out,clean,stalling,downtrend,breaking out,clean,stalling,True,breakout,"Clean downtrend, breaking out. Watch for the break to run.",green/average/long lower/near high,step84_drill_images/d026_BTCUSDT_15m_before.png,step84_drill_images/d026_BTCUSDT_15m_after.png,long,112250,111550,113200,"Strong sustained rally from a long chop base, brief consolidation, now breaking back out to fresh highs closing near session highs. Clean uptrend continuation -- long the breakout, stop below the consolidation low.",target,True,0,113200.0,20,1.3571,700.0
d027_BTCUSDT_15m,BTC-USDT,15m,48,199400,2025-12-01T12:30:00+00:00,85431.1,downtrend,breaking down,clean,stalling,range,breaking down,clean,stalling,True,breakout,"Clean range, breaking down. Watch for the break to run.",red/large/none/near low,step84_drill_images/d027_BTCUSDT_15m_before.png,step84_drill_images/d027_BTCUSDT_15m_after.png,short,85550,86100,84500,"Severe crash (91300->85700, ~6%), bounce to 86800 has now failed with a large red candle breaking back to fresh lows near/below the original crash low. Bounce failure, downtrend resuming -- short the breakdown.",stop,True,2,86100.0,3,-1.0,550.0
d028_ETHUSDT_1h,ETH-USDT,1h,24,1423,2021-05-13T07:00:00+00:00,3970.0,downtrend,pulling back in trend,clean,contracting,downtrend,pulling back in trend,clean,contracting,True,trend-follow,"Clean downtrend, pulling back in trend. Ride the trend.",red/average/none/lower half,step84_drill_images/d028_ETHUSDT_1h_before.png,step84_drill_images/d028_ETHUSDT_1h_after.png,short,4010,4110,3800,"Violent flash-crash wick to 3500 after an uptrend, choppy partial recovery to 4000-4030 repeatedly failing to reclaim both declining MAs. Reading the failed recovery as bearish continuation -- short, stop above the MA cluster.",no_fill,False,,,,0.0,100.0
d029_ETHUSDT_1h,ETH-USDT,1h,24,6173,2021-11-27T05:00:00+00:00,4089.2,uptrend,at range high,clean,expanding,uptrend,at range high,clean,expanding,True,trend-follow,"Clean uptrend, at range high. Ride the trend.",red/large/none/near low,step84_drill_images/d029_ETHUSDT_1h_before.png,step84_drill_images/d029_ETHUSDT_1h_after.png,long,4130,4020,4280,"Severe crash (4560->3900) followed by consolidation and a modest recovery pushing back above MA20 toward 4130, with MA50 still well overhead. Early bounce attempt off crash lows -- long with tight stop given the structure is still damaged, target a retest toward MA50.",stop,True,3,4020.0,21,-1.0,110.0
d030_ETHUSDT_1h,ETH-USDT,1h,24,11871,2022-07-22T15:00:00+00:00,1573.95,uptrend,at range low,messy,expanding,uptrend,at range low,messy,expanding,False,stand aside,"Messy uptrend, at range low. Stand aside, nothing to do here.",red/large/none/near low,step84_drill_images/d030_ETHUSDT_1h_before.png,step84_drill_images/d030_ETHUSDT_1h_after.png,long,1600,1570,1670,"Consistent strong uptrend (1320->1650 peak) pulling back modestly, still well above both rising MAs. Healthy pullback in a strong trend -- long, stop below the MA20 zone, target retest of highs and beyond.",no_fill,False,,,,0.0,30.0
d031_ETHUSDT_1h,ETH-USDT,1h,24,19435,2023-06-02T19:00:00+00:00,1907.42,uptrend,at range high,messy,expanding,uptrend,at range high,messy,expanding,False,stand aside,"Messy uptrend, at range high. Stand aside, nothing to do here.",red/small/long lower/middle,step84_drill_images/d031_ETHUSDT_1h_before.png,step84_drill_images/d031_ETHUSDT_1h_after.png,long,1908,1875,1950,"Strong sustained rally over the last ~10 candles breaking above both MAs to a fresh local high with expanding momentum, after days of 1840-1930 chop. Fresh breakout above the range -- long, stop below the breakout base.",time,True,0,1885.11,24,-0.6936,33.0
d032_ETHUSDT_1h,ETH-USDT,1h,24,20443,2023-07-14T19:00:00+00:00,1911.73,transition,at range low,clean,expanding,transition,at range low,clean,expanding,False,stand aside,"Clean transition, at range low. Stand aside, nothing to do here.",red/average/long lower/upper half,step84_drill_images/d032_ETHUSDT_1h_before.png,step84_drill_images/d032_ETHUSDT_1h_after.png,short,1915,1965,1865,"Violent sharp reversal off the highs breaking down through consolidation in the last few candles, closing near session lows with expanding downside momentum -- fast unwind of the parabolic breakout. Short, targeting the base of the original breakout as a magnet.",time,True,1,1932.7,24,-0.354,50.0
d033_ETHUSDT_1h,ETH-USDT,1h,24,21810,2023-09-09T18:00:00+00:00,1632.18,downtrend,pulling back in trend,clean,stalling,downtrend,pulling back in trend,clean,stalling,True,trend-follow,"Clean downtrend, pulling back in trend. Ride the trend.",red/average/none/lower half,step84_drill_images/d033_ETHUSDT_1h_before.png,step84_drill_images/d033_ETHUSDT_1h_after.png,no trade,,,,"Extremely tight low-volatility chop for 5+ days, small candle bodies, both MAs flat and converged right at current price. No directional structure -- pure dead chop, staying out.",flat,False,,,,0.0,
d034_ETHUSDT_1h,ETH-USDT,1h,24,29474,2024-07-25T02:00:00+00:00,3182.32,downtrend,at range low,messy,expanding,downtrend,at range low,messy,expanding,False,stand aside,"Messy downtrend, at range low. Stand aside, nothing to do here.",red/large/long lower/middle,step84_drill_images/d034_ETHUSDT_1h_before.png,step84_drill_images/d034_ETHUSDT_1h_after.png,short,3215,3320,3050,"Gradual grind lower with lower highs, then a sharp acceleration down -- the decision bar itself is a large expanding-range red candle crashing to fresh multi-day lows. Right at the moment of breakdown, not late to it. Short, stop above the crash candle body.",time,True,24,3244.01,24,-0.2763,105.0
d035_ETHUSDT_1h,ETH-USDT,1h,24,34320,2025-02-12T00:00:00+00:00,2609.47,downtrend,pulling back in trend,clean,contracting,downtrend,pulling back in trend,clean,contracting,True,trend-follow,"Clean downtrend, pulling back in trend. Ride the trend.",green/average/long lower/upper half,step84_drill_images/d035_ETHUSDT_1h_before.png,step84_drill_images/d035_ETHUSDT_1h_after.png,short,2605,2650,2500,"Choppy declining structure with lower highs, fresh leg down to a new swing low of 2555, then just a small green bounce candle -- not enough to signal reversal, price still well below both declining MAs. Short for downtrend continuation.",stop,True,1,2650.0,13,-1.0,45.0
d036_ETHUSDT_1h,ETH-USDT,1h,24,36399,2025-05-09T15:00:00+00:00,2300.47,chop,mid range,messy,expanding,chop,mid range,messy,expanding,False,stand aside,"Messy chop, mid range. Stand aside, nothing to do here.",red/small/long lower/middle,step84_drill_images/d036_ETHUSDT_1h_before.png,step84_drill_images/d036_ETHUSDT_1h_after.png,no trade,,,,"Explosive near-vertical breakout (+35% in ~2 days) to a 2495 peak, decision bar is the first sizable red pullback candle. Too extended to chase long, too early to confidently call a top for a short given parabolic moves often pull back multiple times before reversing. Staying out.",flat,False,,,,0.0,
d037_ETHUSDT_1h,ETH-USDT,1h,24,38077,2025-07-18T13:00:00+00:00,3640.52,uptrend,at range high,messy,expanding,uptrend,at range high,messy,expanding,False,stand aside,"Messy uptrend, at range high. Stand aside, nothing to do here.",green/doji/long lower/upper half,step84_drill_images/d037_ETHUSDT_1h_before.png,step84_drill_images/d037_ETHUSDT_1h_after.png,long,3640,3560,3800,"Clean sustained staircase uptrend (2930->3670), every pullback bought so far, both MAs rising steadily below price. Currently consolidating near highs after the latest push. Long for continuation, stop below the consolidation/MA20 zone.",stop,True,0,3560.0,1,-1.0,80.0
d038_ETHUSDT_1h,ETH-USDT,1h,24,41528,2025-12-09T08:00:00+00:00,3119.54,transition,mid range,messy,expanding,transition,mid range,messy,expanding,False,stand aside,"Messy transition, mid range. Stand aside, nothing to do here.",red/small/long upper/lower half,step84_drill_images/d038_ETHUSDT_1h_before.png,step84_drill_images/d038_ETHUSDT_1h_after.png,no trade,,,,"After a volatile period (flash crash to 2915, V-recovery), the last day+ has been choppy consolidation in a 3090-3180 band with both MAs converging right at the current price. No clear directional edge -- staying out.",flat,False,,,,0.0,
d039_ETHUSDT_1h,ETH-USDT,1h,24,44078,2026-03-25T14:00:00+00:00,2173.11,transition,at range high,messy,expanding,transition,at range high,messy,expanding,False,stand aside,"Messy transition, at range high. Stand aside, nothing to do here.",red/large/none/near low,step84_drill_images/d039_ETHUSDT_1h_before.png,step84_drill_images/d039_ETHUSDT_1h_after.png,long,2178,2155,2230,"Steady grinding uptrend after a V-recovery from 2020, fresh local high near 2198, now pulling back mildly still well above both rising MAs. Healthy pullback within an accelerating recovery trend -- long.",stop,True,2,2155.0,12,-1.0,23.0
d040_ETHUSDT_1h,ETH-USDT,1h,24,46023,2026-06-14T15:00:00+00:00,1662.07,transition,at range low,messy,expanding,transition,at range low,messy,expanding,False,stand aside,"Messy transition, at range low. Stand aside, nothing to do here.",green/large/none/upper half,step84_drill_images/d040_ETHUSDT_1h_before.png,step84_drill_images/d040_ETHUSDT_1h_after.png,short,1660,1680,1620,"Choppy uptrend now breaking down over the last several candles, closing below both MAs with red expanding-range candles. Fresh momentum shift to the downside after topping near range highs -- short.",stop,True,1,1680.0,6,-1.0,20.0
