date,symbol,side,level_timeframe,level_price,swept_at,confirmed_by,confirmed_at,pullback_into,entry_at,entry,stop,stop_rests_on,risk_per_share,shares,notional,risk_wanted_dollars,risk_taken_dollars,risk_pct_of_account,size_clamped_by_buying_power,target1,target1_from,target2,target2_from,exit_at,exit_price,what_happened,pnl_dollars,pnl_pct_of_account,reward_vs_risk,regime,cost_dollars,filter_escalated
2026-05-26,SPY,long,1h,749.82,09:30,5-minute gap inversion,09:45,the midpoint,10:18,751.535,749.0558,"beyond the furthest price reached while the 1h level was being taken, plus a spread buffer",2.4792,403.31,303099.32,999.86,999.86,1.0,False,754.0142,"no pool beyond 1:1, so the 1:1 floor itself",756.4933,"no marked level beyond target 1, so twice what was risked",11:46,749.0558,stopped out,-1010.47,-1.011,-1.011,trending up,10.61,False
2026-05-28,QQQ,long,15m,729.15,09:30,5-minute break of structure,10:10,a fair value gap,10:29,731.9299,726.3368,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",5.5931,176.96,129522.51,989.76,989.76,1.0,False,737.6,the first 15-minute pool at or beyond 1:1,743.1161,"no marked level beyond target 1, so twice what was risked",15:55,735.34,flat by the close,598.92,0.605,0.605,trending up,4.53,False
2026-06-08,SPY,short,london,743.47,08:30,a 5-minute break of structure that printed before the bell,09:25,the midpoint,09:50,742.0,744.8042,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",2.8042,355.09,263477.06,995.74,995.74,1.0,False,739.15,the first 15-minute pool at or beyond 1:1,736.32,the next marked higher-timeframe level,10:58,744.8042,stopped out,-1004.97,-1.009,-1.009,no trend,9.22,False
2026-06-09,QQQ,short,premarket_ny,723.21,09:45,5-minute gap inversion,09:55,a fair value gap,10:29,715.95,725.7316,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",9.7816,100.77,72146.53,985.69,985.69,1.0,False,704.46,the first 15-minute pool at or beyond 1:1,699.76,the next marked higher-timeframe level,11:56,699.76,both targets reached,1392.14,1.412,1.412,no trend,2.53,False
2026-06-18,SPY,short,premarket_ny,748.02,09:30,5-minute break of structure,09:35,a fair value gap,09:54,744.65,748.2745,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",3.6245,275.8,205372.15,999.62,999.62,1.0,False,740.7,the first 15-minute pool at or beyond 1:1,739.22,the next marked higher-timeframe level,15:55,747.72,flat by the close,-853.88,-0.854,-0.854,no trend,7.19,False
2026-06-22,QQQ,long,15m,741.38,09:30,5-minute break of structure,09:35,the midpoint,09:57,744.14,740.3556,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",3.7844,261.88,194878.33,991.08,991.08,1.0,False,747.9244,"no pool beyond 1:1, so the 1:1 floor itself",751.7088,"no marked level beyond target 1, so twice what was risked",10:27,740.3556,stopped out,-997.9,-1.007,-1.007,trending up,6.82,False
2026-07-16,QQQ,short,premarket_ny,712.57,09:30,5-minute break of structure,09:35,a fair value gap,10:18,711.787,713.6702,"beyond the furthest price reached while the premarket_ny level was being taken, plus a spread buffer",1.8832,520.98,370826.75,981.1,981.1,1.0,False,707.0,the first 15-minute pool at or beyond 1:1,700.91,the next marked higher-timeframe level,15:55,705.58,flat by the close,2850.85,2.906,2.906,trending down,12.98,False
2026-07-20,SPY,short,london,748.01,09:30,5-minute break of structure,09:55,the midpoint,10:17,744.83,748.8045,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",3.9745,254.02,189203.34,1009.61,1009.61,1.0,False,740.8,the first 15-minute pool at or beyond 1:1,736.881,"no marked level beyond target 1, so twice what was risked",15:55,741.91,flat by the close,735.12,0.728,0.728,trending down,6.62,False
2026-07-21,SPY,short,london,746.68,09:30,5-minute break of structure,09:40,a fair value gap,10:09,745.195,746.7645,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",1.5695,545.87,406783.21,1016.96,856.76,0.842,True,741.73,the first 15-minute pool at or beyond 1:1,740.96,the next marked higher-timeframe level,10:27,746.7645,stopped out,-871.0,-0.856,-1.017,trending down,14.24,False
2026-07-23,QQQ,long,4h,694.06,09:30,5-minute break of structure,09:40,the midpoint,09:54,697.045,693.1403,"beyond the furthest price reached while the 4h level was being taken, plus a spread buffer",3.9047,258.21,179986.54,1008.25,1008.25,1.0,False,701.03,the first 15-minute pool at or beyond 1:1,704.4,the next marked higher-timeframe level,10:33,693.1403,stopped out,-1014.55,-1.006,-1.006,no trend,6.3,False
